split,family,task,source_id,review_status,system,user,assistant,approved,review_note
train,commute,rewrite_slang,commute-01,synthetic_needs_review,"Skriv om meningen på naturlig svensk vardagsslang. Behåll exakt samma betydelse, negationer, namn och sakuppgifter. Lägg inte till någon ny information.",Jag orkar inte vänta på bussen längre.,Jag pallar inte vänta på bussen längre.,,
train,commute,rewrite_malmo_mild,commute-01,synthetic_needs_review,"Skriv om meningen på modern, mild malmöitisk vardagssvenska. Tonen ska vara avslappnad och naturlig, inte stereotyp eller fonetiskt skriven. Behåll exakt samma betydelse och lägg inte till information.",Jag orkar inte vänta på bussen längre.,Jag pallar inte vänta på bussen mer.,,
train,commute,rewrite_malmo_medium,commute-01,synthetic_needs_review,"Skriv om meningen på modern malmöitisk vardagssvenska med tydlig men naturlig vardagston. Undvik karikatyr och överanvänd inte regionala markörer. Behåll exakt samma betydelse, negationer och sakuppgifter.",Jag orkar inte vänta på bussen längre.,Jag pallar inte stå här och vänta på bussen mer.,,
train,commute,neutralize,commute-01,synthetic_needs_review,"Skriv om meningen på neutral standardsvenska utan slang eller regionala uttryck. Behåll exakt samma betydelse, negationer och sakuppgifter.",Jag pallar inte stå här och vänta på bussen mer.,Jag orkar inte vänta på bussen längre.,,
train,commute,rewrite_slang,commute-02,synthetic_needs_review,"Skriv om meningen på naturlig svensk vardagsslang. Behåll exakt samma betydelse, negationer, namn och sakuppgifter. Lägg inte till någon ny information.",Tåget är försenat igen.,Tåget är sent igen.,,
train,commute,rewrite_malmo_mild,commute-02,synthetic_needs_review,"Skriv om meningen på modern, mild malmöitisk vardagssvenska. Tonen ska vara avslappnad och naturlig, inte stereotyp eller fonetiskt skriven. Behåll exakt samma betydelse och lägg inte till information.",Tåget är försenat igen.,"Tåget är försenat igen, typiskt.",,
train,commute,rewrite_malmo_medium,commute-02,synthetic_needs_review,"Skriv om meningen på modern malmöitisk vardagssvenska med tydlig men naturlig vardagston. Undvik karikatyr och överanvänd inte regionala markörer. Behåll exakt samma betydelse, negationer och sakuppgifter.",Tåget är försenat igen.,"Tåget är sent igen, så klart.",,
train,commute,neutralize,commute-02,synthetic_needs_review,"Skriv om meningen på neutral standardsvenska utan slang eller regionala uttryck. Behåll exakt samma betydelse, negationer och sakuppgifter.","Tåget är sent igen, så klart.",Tåget är försenat igen.,,
train,commute,rewrite_slang,commute-03,synthetic_needs_review,"Skriv om meningen på naturlig svensk vardagsslang. Behåll exakt samma betydelse, negationer, namn och sakuppgifter. Lägg inte till någon ny information.",Vi måste gå nu för att hinna med tåget.,Vi måste dra nu för att hinna med tåget.,,
train,commute,rewrite_malmo_mild,commute-03,synthetic_needs_review,"Skriv om meningen på modern, mild malmöitisk vardagssvenska. Tonen ska vara avslappnad och naturlig, inte stereotyp eller fonetiskt skriven. Behåll exakt samma betydelse och lägg inte till information.",Vi måste gå nu för att hinna med tåget.,Vi får dra nu om vi ska hinna med tåget.,,
train,commute,rewrite_malmo_medium,commute-03,synthetic_needs_review,"Skriv om meningen på modern malmöitisk vardagssvenska med tydlig men naturlig vardagston. Undvik karikatyr och överanvänd inte regionala markörer. Behåll exakt samma betydelse, negationer och sakuppgifter.",Vi måste gå nu för att hinna med tåget.,"Vi får dra nu, annars missar vi tåget.",,
train,commute,neutralize,commute-03,synthetic_needs_review,"Skriv om meningen på neutral standardsvenska utan slang eller regionala uttryck. Behåll exakt samma betydelse, negationer och sakuppgifter.","Vi får dra nu, annars missar vi tåget.",Vi måste gå nu för att hinna med tåget.,,
train,commute,rewrite_slang,commute-04,synthetic_needs_review,"Skriv om meningen på naturlig svensk vardagsslang. Behåll exakt samma betydelse, negationer, namn och sakuppgifter. Lägg inte till någon ny information.",Det tog lång tid att komma genom trafiken.,Det tog skitlång tid att komma genom trafiken.,,
train,commute,rewrite_malmo_mild,commute-04,synthetic_needs_review,"Skriv om meningen på modern, mild malmöitisk vardagssvenska. Tonen ska vara avslappnad och naturlig, inte stereotyp eller fonetiskt skriven. Behåll exakt samma betydelse och lägg inte till information.",Det tog lång tid att komma genom trafiken.,Det tog riktigt lång tid att komma genom trafiken.,,
train,commute,rewrite_malmo_medium,commute-04,synthetic_needs_review,"Skriv om meningen på modern malmöitisk vardagssvenska med tydlig men naturlig vardagston. Undvik karikatyr och överanvänd inte regionala markörer. Behåll exakt samma betydelse, negationer och sakuppgifter.",Det tog lång tid att komma genom trafiken.,Det tog hur lång tid som helst att komma genom trafiken.,,
train,commute,neutralize,commute-04,synthetic_needs_review,"Skriv om meningen på neutral standardsvenska utan slang eller regionala uttryck. Behåll exakt samma betydelse, negationer och sakuppgifter.",Det tog hur lång tid som helst att komma genom trafiken.,Det tog lång tid att komma genom trafiken.,,
train,commute,rewrite_slang,commute-05,synthetic_needs_review,"Skriv om meningen på naturlig svensk vardagsslang. Behåll exakt samma betydelse, negationer, namn och sakuppgifter. Lägg inte till någon ny information.",Jag hittar inte rätt hållplats.,Jag hittar fan inte rätt hållplats.,,
train,commute,rewrite_malmo_mild,commute-05,synthetic_needs_review,"Skriv om meningen på modern, mild malmöitisk vardagssvenska. Tonen ska vara avslappnad och naturlig, inte stereotyp eller fonetiskt skriven. Behåll exakt samma betydelse och lägg inte till information.",Jag hittar inte rätt hållplats.,Jag hittar inte rätt hållplats alls.,,
train,commute,rewrite_malmo_medium,commute-05,synthetic_needs_review,"Skriv om meningen på modern malmöitisk vardagssvenska med tydlig men naturlig vardagston. Undvik karikatyr och överanvänd inte regionala markörer. Behåll exakt samma betydelse, negationer och sakuppgifter.",Jag hittar inte rätt hållplats.,Jag fattar inte vilken hållplats jag ska till.,,
train,commute,neutralize,commute-05,synthetic_needs_review,"Skriv om meningen på neutral standardsvenska utan slang eller regionala uttryck. Behåll exakt samma betydelse, negationer och sakuppgifter.",Jag fattar inte vilken hållplats jag ska till.,Jag hittar inte rätt hållplats.,,
train,commute,rewrite_slang,commute-06,synthetic_needs_review,"Skriv om meningen på naturlig svensk vardagsslang. Behåll exakt samma betydelse, negationer, namn och sakuppgifter. Lägg inte till någon ny information.",Bussen körde förbi utan att stanna.,Bussen bara körde förbi utan att stanna.,,
train,commute,rewrite_malmo_mild,commute-06,synthetic_needs_review,"Skriv om meningen på modern, mild malmöitisk vardagssvenska. Tonen ska vara avslappnad och naturlig, inte stereotyp eller fonetiskt skriven. Behåll exakt samma betydelse och lägg inte till information.",Bussen körde förbi utan att stanna.,Bussen körde bara förbi utan att stanna.,,
train,commute,rewrite_malmo_medium,commute-06,synthetic_needs_review,"Skriv om meningen på modern malmöitisk vardagssvenska med tydlig men naturlig vardagston. Undvik karikatyr och överanvänd inte regionala markörer. Behåll exakt samma betydelse, negationer och sakuppgifter.",Bussen körde förbi utan att stanna.,Bussen bara drog förbi utan att stanna.,,
train,commute,neutralize,commute-06,synthetic_needs_review,"Skriv om meningen på neutral standardsvenska utan slang eller regionala uttryck. Behåll exakt samma betydelse, negationer och sakuppgifter.",Bussen bara drog förbi utan att stanna.,Bussen körde förbi utan att stanna.,,
train,commute,chat_malmo_mild,commute-chat-01,synthetic_needs_review,"Svara kort, hjälpsamt och naturligt på mild modern malmöitisk vardagssvenska. Hitta inte på fakta och använd inte dialektmarkörer i varje mening.",Bussen är tjugo minuter sen. Vad gör jag?,Kolla nästa avgång och om det finns en annan linje. Annars får du vänta lite till.,,
train,commute,chat_malmo_medium,commute-chat-01,synthetic_needs_review,Svara kort och konkret på modern malmöitisk vardagssvenska. Tonen får vara urban och avslappnad men inte stereotyp. Hitta inte på fakta.,Bussen är tjugo minuter sen. Vad gör jag?,Kolla nästa avgång och se om du kan ta en annan linje. Annars är det bara att vänta lite till.,,
train,commute,chat_malmo_mild,commute-chat-02,synthetic_needs_review,"Svara kort, hjälpsamt och naturligt på mild modern malmöitisk vardagssvenska. Hitta inte på fakta och använd inte dialektmarkörer i varje mening.",Tror du jag hinner tåget?,Det beror på hur långt du har kvar. Börja gå nu och kolla avgångstiden.,,
train,commute,chat_malmo_medium,commute-chat-02,synthetic_needs_review,Svara kort och konkret på modern malmöitisk vardagssvenska. Tonen får vara urban och avslappnad men inte stereotyp. Hitta inte på fakta.,Tror du jag hinner tåget?,"Svårt att säga utan tiden, men börja dra nu och kolla avgången.",,
train,work,rewrite_slang,work-01,synthetic_needs_review,"Skriv om meningen på naturlig svensk vardagsslang. Behåll exakt samma betydelse, negationer, namn och sakuppgifter. Lägg inte till någon ny information.",Jag förstår inte varför mötet blev inställt.,Jag fattar inte varför mötet blev inställt.,,
train,work,rewrite_malmo_mild,work-01,synthetic_needs_review,"Skriv om meningen på modern, mild malmöitisk vardagssvenska. Tonen ska vara avslappnad och naturlig, inte stereotyp eller fonetiskt skriven. Behåll exakt samma betydelse och lägg inte till information.",Jag förstår inte varför mötet blev inställt.,Jag fattar inte varför de ställde in mötet.,,
